title,artist,lyrics,Category
Overcomer,Mandisa,"Watching people drive by
T. Mac on the radio
Got so much on your mind
Nothing's really going right
Looking for a ray of hope

Whatever it is you may be going through
I know He's not gonna let it get the best of you

You're an overcomer
Stay in the fight until the final round
You're not going under
'Cause God is holding you right now
You might be down for a moment
Feeling like it's hopeless
That's when He reminds You
That you're an overcomer
You're an overcomer

Everybody's been down
Hit the bottom, hit the ground
Oh, you're not alone
Just take a breath, don't forget
Hang on to His promises
He wants You to know

You're an overcomer
Stay in the fight until the final round
You're not going under
'Cause God is holding you right now
You might be down for a moment
Feeling like it's hopeless
That's when He reminds You
That you're an overcomer
You're an overcomer

The same Man, the Great I am
The one who overcame death
Is living inside of You
So just hold tight, fix your eyes
On the one who holds your life
There's nothing he can't do
He's telling you

You're an overcomer
Stay in the fight until the final round
You're not going under
'Cause God is holding you right now
You might be down for a moment
Feeling like it's hopeless
That's when He reminds You
That you're an overcomer
You're an overcomer

So don't quit, don't give in
You're an overcomer",Inspiring
Blessings,Laura Story,"We pray for peace
Comfort for family, protection while we sleep
We pray for healing, for prosperity
We pray for Your mighty hand to ease our suffering
All the while, You hear each spoken need
Yet love is way too much to give us lesser things

'Cause what if your blessings come through raindrops
What if Your healing comes through tears
What if a thousand sleepless nights are what it takes to know You're near
What if trials of this life are Your mercies in disguise

We pray for wisdom
Your voice to hear
We cry in anger when we cannot feel You near
We doubt your goodness, we doubt your love
As if every promise from Your Word is not enough

All the while, You hear each desperate plea
And long that we'd have faith to believe

When friends betray us
When darkness seems to win
We know that pain reminds this heart
That this is not our home

What if my greatest disappointments
Or the aching of this life
Is the revealing of a greater thirst this world can't satisfy
What if trials of this life
The rain, the storms, the hardest nights
Are your mercies in disguise",Inspiring
Resurrecting,Elevation Worship,"Is crowned with glory now
The Savior knelt to wash our feet
Now at his feet we bow

The one who wore our sin and shame
Now robed in majesty
The radiance of perfect love
Now shines for all to see

Your name
Your name
Is victory
All praise
Will rise
To Christ our king

The fear that held us now gives way
To him who is our peace
His final breath upon the cross
Is now alive in me

Your name
Your name
Is victory
All praise
Will rise
To Christ our king

By Your spirit I will rise
From the ashes of defeat
The resurrected king
Is resurrecting me
In Your name I come alive
To declare your victory
The resurrected king
Is resurrecting me

The tomb where soldiers watched in vain
Was borrowed for three days
His body there would not remain
Our God has robbed the grave
Our God has robbed the grave

Your name
Your name
Is victory
All praise
Will rise
To Christ our king

By Your spirit I will rise
From the ashes of defeat
The resurrected king
Is resurrecting me
In your name I come alive
To declare Your victory
The resurrected king
Is resurrecting me
The resurrected king
Is resurrecting me",Inspiring
Soul On Fire (feat. All Sons & Daughters),Third Day,"I'm running for Your heart
Till I am a soul on fire
Lord, I'm longing for Your ways
I'm waiting for the day
When I am a soul on fire
Till I am a soul on fire

Lord, restore the joy I had
And I have wandered bring me back
In this darkness, lead me through
Until all I see is You

Lord, let me burn for You again
Let me return to You again
And Lord, let me burn for You again
Let me return to You again

God, I'm running for Your heart
I'm running for Your heart
Till I am a soul on fire
I want to be
Till I am a soul on fire
Till I am a soul on fire",Inspiring
Feel It (feat. Mr. Talkbox),tobyMac,"Come on!
'Bout to do it like this
'Bout to do it like this yo
1, 2, 1234
1, 2, 1234

When I sit back and imagine
Life without you I can't fathom
How I ever though I'd make it on my own (on my own)
And there's at least a million reasons
I'm still standin' here believing
You're my comfort
You're my healin'
This I know, (This I know This I know)

When ya can't see the wind but it moves the leaves
From the bottom to the top
Of the tallest trees
You are everything I will ever need
And they can't take that from me

Oh I feel it in my heart
I feel it in my soul
That's how I know (oh oh oh ohah)
You take our brokenness
And make us beautiful
Yeah, that's how I know
That's how I know (You can't take that from me)

Love came crashin' in
Never gonna be the same again
Yeah, you came crashin' in
You wrecked me
You wrecked me

Love came crashin' in
Never gonna be the same again
Yeah, you came crashin' in
You wrecked me
You wrecked me

Everybody talkin' like they need some proof
But what more do I need than to- feel you

Everybody talkin' like they need some proof
But what more do I need than to- feel you

When I sit back and imagine
Life without you I can't fathom
How I ever though I'd make it on my own (on my own)
And there's at least a million reasons
I'm still standin' here believing
You're my comfort
You're my healin'
This I know (This I know This I know)

When ya can't see the wind but it moves the leaves
From the bottom to the top
Of the tallest trees
You are everything I will ever need
And they can't take that from me

Oh I feel it in my heart
I feel it in my soul
That's how I know (oh oh oh ohah)
You take our brokenness
And make us beautiful
Yeah, that's how I know
That's how I know (You can't take that from me)

Love came crashin' in
Never gonna be the same again
Yeah, you came crashin' in
You wrecked me
You wrecked me

Love came crashin' in
Never gonna be the same again
Yeah, you came crashin' in
You wrecked me
You wrecked me

That's how I know
That's how I know
That's how I know
That's how I know
That's how I know

Oh I feel it in my heart
I feel it in my soul
That's how I know, (oh oh oh ohah)
You take our brokenness
And make us beautiful
Yeah, that's how I know
That's how I know (You can't take that from me)

Oh I feel it in my heart
I feel it in my soul
That's how I know, (oh oh oh ohah)
You take our brokenness
And make us beautiful
Yeah, that's how I know
That's how I know (You can't take that from me)

That's how I know

Everybody talkin' like they need some proof
But what more do I need than to - feel you

Everybody talkin' like they need some proof
But what more do I need than to - feel you

Bring it back now!",Inspiring
I Have This Hope,Tenth Avenue North,"Questions come and questions go
Was there purpose for the pain?
Did I cry these tears in vain?

I don't want to live in fear
I want to trust that You are near
Trust Your grace can be seen
In both triumph and tragedy

I have this hope
In the depth of my soul
In the flood or the fire
You're with me and You won't let go

But sometimes my faith feels thin
Like the night will never end
Will You catch every tear
Or will You just leave me here?

But I have this hope
In the depth of my soul
In the flood or the fire
You're with me and You won't let go

But I have this hope
In the depth of my soul
In the flood or the fire
You're with me and You won't let go

So, whatever happens I will not be afraid
Cause You are closer than this breath that I take
You calm the storm when I hear You call my name
I still believe that one day I'll see Your face

And I have this hope
In the depth of my soul
In the flood or the fire
You're with me
I have this hope
In the depth of my soul
In the flood or the fire
You're with me and You won't let go

In the flood or the fire
You're with me and You won't let go

In the flood or the fire
You're with me and You won't let go",Inspiring
Kiss Me,Sixpence None the Richer,"Nightly, beside the green, green grass
Swing, swing, swing the spinning step
You wear those shoes and I will wear that dress

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me down by the broken treehouse
Swing me upon its hanging tire
Bring, bring, bring your flowered hat
We'll take the trail marked on your father's map

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hair
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

So kiss me
So kiss me
So kiss me
So kiss me",Inspiring
Breathe,Jonny Diaz,"It's off to the races, everybody out the door
I'm feeling like I'm falling behind, it's a crazy life
Ninety miles an hour, going fast as I can
Trying to push a little harder, trying to get the upper hand
So much to do in so little time, it's a crazy life

It's ready, set, go it's another wild day
When the stress is on the rise in my heart I feel You say just

Breathe, just breathe
Come and rest at My feet
And be, just be
Chaos calls, but all you really need
Is to just breathe

Third cup of joe just to get me through the day
Wanna make the most of time, but I feel it slip away
I wonder if there's something more to this crazy life
I'm busy, busy, busy, and it's no surprise to see
That I only have time for me, me, me
There's gotta be something more to this crazy life

I'm hanging on tight to another wild day
When it starts to fall apart in my heart I hear You say just

Breathe, just breathe
Come and rest at My feet
And be, just be
Chaos calls, but all you really need

Is to take it in, fill your lungs
The Peace of God that overcomes
Just breathe (just breathe)
Let your weary spirit rest
Lay down what's good and find what's best
Just breathe

Just breathe, just breathe
Come and rest at My feet
And be, just be
Chaos calls, but all you really need
Is to just breathe
Just breathe",Inspiring
Steady,For KING & COUNTRY,"My constant solid ground
You are my lantern in the night

When I'm twisted up and shaken
You're the one I put my faith in
Yeah, you're the reason I survive

You keep me steady when the sky is falling
And I'll keep steady after You
I'll carry on when my strength is failing
Take heart 'cause You're with me
So let the sun stop, stars drop, whatever comes
I'll be ready, You keep me steady
You keep me steady

You're a river, You cover me
When the bombs fall, You're the cavalry
Somehow You're always standing right by my side

So no matter what I will be facing
I will not be over-taken
And You are the only reason why

You're my hiding place, my home
And fear cannot invade these four walls
I need You near, I need You here

You keep me steady
You keep me steady",Inspiring
Shoulders,For KING & COUNTRY,"And despair holds me for ransom
I will feel no fear
I know that You are near
When I'm caught deep in the valley
With chaos for my company
I'll find my comfort here
'Cause I know that You are near

My help comes from You
You're right here, pulling me through
You carry my weakness, my sickness, my brokenness all on Your shoulders
Your shoulders
My help comes from You
You are my rest, my rescue
I don't have to see to believe that You're lifting me up on Your shoulders
Your shoulders

You mend what once was shattered
And You turn my tears to laughter
Your forgiveness is my fortress
Oh Your mercy is relentless

My help comes from You
You're right here, pulling me through
You carry my weakness, my sickness, my brokenness all on Your shoulders
Your shoulders
My help comes from You
You are my rest, my rescue
I don't have to see to believe that You're lifting me up on Your shoulders
Your shoulders

My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true
My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true

My help comes from You
You're right here, pulling me through
You carry my weakness, my sickness, my brokenness all on Your shoulders
Your shoulders
My help comes from You
You are my rest, my rescue
No, I don't have to see to believe that You're lifting me up on Your shoulders
Your shoulders

My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true
My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true

My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true
My help is from You
Don't have to see it to believe it
My help is from you
Don't have to see it, 'cause I know, 'cause I know it's true",Inspiring
This is Love,For KING & COUNTRY,"When I first met you
The moment moved me
I still remember
Your soul of beauty
It stole me away, away

Richer or poorer
Better or worse
Could we be together
Could we make it work
If love is patient
And if love is kind
Oh God, give me a sign

You've got me thinking
This is love, this is love, this is love that I'm feeling
This is love, this is love, this is love I believe it
I'll kiss you only
Darling, I promise
To hold you gently
And still be the strongest
I'm yours completely
No matter what comes our way
I'll love you till the end of my days
Till the end of my days

Could've never imagined
We'd find each other
A classic romantic
Of unlikely lovers
Some kind of magic
How two can turn into one, to one

For rich or poor
Better or worse
We'll be together
Yeah, we'll make it work
Love is patient
I know love is kind
Thank God I saw the sign

Till the end of my days
Till the end of my days

Run, run, run, run with me
As one, one, one, we will dream
Of a beautiful love mystery
So run, run, run, run with me

Till the end of my days
Till the end of my days

Till the end our days
I'll love you till the end of our days
Till the end of our days",Inspiring
I Won't Give Up,Jason Mraz,"It's like watching the night sky
Or a beautiful sunrise
There's so much they hold

And just like them old stars
I see that you've come so far
To be right where you are
How old is your soul?

Well, I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up

And when you're needing your space
To do some navigating
I'll be here patiently waiting
To see what you find

'Cause even the stars, they burn
Some even fall to the Earth
We've got a lot to learn
God knows we're worth it
No, I won't give up

I don't want to be someone who walks away so easily
I'm here to stay and make the difference that I can make
Our differences, they do a lot to teach us how to use
The tools and gifts we got yeah, we got a lot at stake

And in the end, you're still my friend at least we did intend
For us to work we didn't break, we didn't burn
We had to learn how to bend without the world caving in
I had to learn what I've got and what I'm not and who I am

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up
Still looking up

I won't give up on us (no I'm not giving up)
God knows I'm tough enough (I am tough, I am loved)
We've got a lot to learn (we're alive, we are loved)
God knows we're worth it (and we're worth it)

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up",inspiring_non_christian_music
Castle on the Hill,Ed Sheeran,"I was running from my brother and his friends
Tasted the sweet perfume of the mountain grass as I rolled down
I was younger then, take me back to when I
Found my heart and broke it here, made friends and lost them through the years
And I've not seen the roaring fields in so long, I know, I've grown
But I can't wait to go home

I'm on my way, driving at ninety down those country lanes
Singing to Tiny Dancer, and I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill

Fifteen years old smoking hand rolled cigarettes
Running from the law through the backfields and getting drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when we found
Weekend jobs when we got paid we'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh how we've grown
But I can't wait to go home

I'm on my way, driving at ninety down those country lanes
Singing to Tiny Dancer, and I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
Ones already on his second wife
Ones just barely getting by
But these people raised me
And I can't wait to go home

And I'm on my way, I still remember these old country lanes
When we did not know the answers, and I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill",inspiring_non_christian_music
That's What I Like,Bruno Mars,"Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'

So pop it for a pimp
Pop, pop it for me
Turn around and drop it for a pimp
Drop, drop it for me

I'll rent a beach house in Miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi

You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be on fleek, ah, mamacita
I will never make a promise that I can't keep
I promise that you'll smile and gon' never leave

Shopping sprees in Paris
Everything 24 carats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (is it you?) Is it me? (is it me?)
Say it's us (say it's us) and I'll agree, baby

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind

If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like",inspiring_non_christian_music
How You Remind Me,Nickelback,"I couldn't cut it as a poor man stealin'
Tired of livin' like a blind man
I'm sick inside without a sense of feelin'
And this is how you remind me

This is how you remind me of what I really am
This is how you remind me of what I really am

It's not like you to say sorry
I was waitin' on a different story
This time I'm mistaken
For handin' you a heart worth breakin'

And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream, ""Are we havin' fun yet?""

Yet? Yet? Yet? No, no
Yet? Yet? Yet? No, no

It's not like you didn't know that
I said I love you and I swear I still do
And it must have been so bad
'Cause livin' with me must have damn near killed you

And this is how you remind me of what I really am
This is how you remind me of what I really am

It's not like you to say sorry
I was waitin' on a different story
This time I'm mistaken
For handin' you a heart worth breakin'

And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream, ""Are we havin' fun yet?""

Yet? Yet? Yet? No, no
Yet? Yet? Yet? No, no
Yet? Yet? Yet? No, no
Yet? Yet? Yet? No, no

Never made it as a wise man
I couldn't cut it as a poor man stealin'
And this is how you remind me
This is how you remind me

This is how you remind me of what I really am
This is how you remind me of what I really am

It's not like you to say sorry
I was waitin' on a different story
This time I'm mistaken
For handin' you a heart worth breakin'

And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream, ""Are we havin' fun yet?""

Yet? Yet? Are we havin' fun yet?
Yet? Yet? Are we havin' fun yet?

Yet? Yet? Are we havin' fun yet?

Yet? Yet? No, no",inspiring_non_christian_music
Iris,The Goo Goo Dolls,"'Cause I know that you feel me somehow
You're the closest to heaven that I'll ever be
And I don't want to go home right now
And all I can taste is this moment
And all I can breathe is your life
And sooner or later it's over
I just don't want to miss you tonight

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And you can't fight the tears that ain't coming
Or the moment of truth in your lies
When everything feels like the movies
Yeah, you bleed just to know you're alive

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am",inspiring_non_christian_music
HARD LOVE (feat. Andra Day),NEEDTOBREATHE,"Going to blows with your fear incarnate
Never gone until it's stripped away
A part of you has gotta die today

In the morning you gon' need an answer
Ain't nobody gonna change the standard
It's not enough to just feel the flame
You've gotta burn your old self away

Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, 'cause it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, 'cause it's a hard love

You know the situation can't be right
And all you ever do is fight
But there's a reason that the road is long
It take some time to make your courage strong

Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, 'cause it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, 'cause it's a hard love

When the wolves come and hunt me down
I will face them all and stand my ground
'Cause there's a fire burnin' in me
They will see my strength in this love I found
Oh

Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, 'cause it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, 'cause it's a hard love

It's a hard love...

Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, 'cause it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, 'cause it's a hard love
'Cause it's a hard love",inspiring_non_christian_music
Fix You,Coldplay,"When you get what you want but not what you need
When you feel so tired but you can't sleep
Stuck in reverse

And the tears come streaming down your face
When you lose something you can't replace
When you love someone but it goes to waste
Could it be worse?

Lights will guide you home
And ignite your bones
And I will try to fix you

And high up above or down below
When you're too in love to let it go
But if you never try you'll never know
Just what you're worth

Lights will guide you home
And ignite your bones
And I will try to fix you

Tears stream down your face
When you lose something you cannot replace
Tears stream down your face
And I...

Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face
And I...

Lights will guide you home
And ignite your bones
And I will try to fix you",inspiring_non_christian_music
Untouched,The Veronicas,"You go ah ah
La la la la, Ah la la la
I can la la la la la la
I wanna wanna wanna get get get
What I want don't stop
Gimme gimme gimme what you got got
'Cause I can't wait wait wait
Anymore more more more
Don't even talk about the consequence
'Cause right now you're the only thing
That's makin' any sense to me
And I don't give a damn
What they say or what they think think
'Cause you're the only one who's on my mind
I'll never ever let you leave me
I'll try to stop time forever
Never wanna hear you say goodbye (bye bye)

I feel so untouched
And I want you so much
That I just can't resist you
It's not enough to say that I miss you
I feel so untouched right now
Need you so much somehow
I can't forget you
I've gone crazy from the moment I met you

Untouched un
And I need you so much

See you breathe you I want to be you
Ah la la la, Ah la la la
You can take take t-t-take take time time
To live live the way
You gotta gotta live your life
Gimme gimme gimme all of you you
Don't be scared
I'll see you through the loneliness
I want it more more more
Don't even think about what's right or wrong
Or wrong or right
'Cause in the end it's only you and me
And no one else is gonna be around
To answer all the questions left behind
And you and I are meant to be
So even if the world falls down today
You still got me to hold you up up
And I will never let you down (down down)

I feel so untouched
And I want you so much
That I just can't resist you
It's not enough to say that I miss you
I feel so untouched right now
Need you so much somehow
I can't forget you
I've gone crazy from the moment I met you

Untouched un untouched
Untouched un untouched
Untouched un
Ah la la la, Ah la la la
Untouched un
Ah la la la, Ah la la la

I feel so untouched
And I want you so much
That I just can't resist you
It's not enough to say that I miss you
I feel so untouched right now
Need you so much somehow
I can't forget you
I've gone crazy from the moment I met you

I feel so untouched
And I want you so much
That I just can't resist you
It's not enough to say that I miss you
I feel so untouched right now
Need you so much somehow
I can't forget you
I've gone crazy from the moment I met you

Untouched un untouched
Untouched un",inspiring_non_christian_music
Wild Horses,Birdy,"But it's hard to sleep when your head's not in it
I've been restless
Cause you disappeared and that's all that's missing
The earth is loose under my shoes

There's an angel
And he's shaped like you, and I thought I knew him
There's a window
And it's dark inside, but the light was in it
This can't be love if it hurts so much
I need to let go

I will survive and be the one who's stronger
I will not beg you to stay
I will move on and you should know I mean it
Wild horses run in me

I remember
How we danced so close, I would stand on your feet
And the phone calls
That would last all night, they were lifeboats to me
Our fading scars, just shooting stars
They're here, then go

I will survive and be the one who's stronger
I will not beg you to stay
I will move on and you should know I mean it
Wild horses run in me

Our human hearts forget how strong they are
And they get lost along the way, hey
It's not giving up, it's letting go
And moving to a better place

I will survive and be the one who's stronger
I will not beg you to stay
I will move on and you should know I mean it
Wild horses run in me, yeah

I will survive and be the one who's stronger
I will not beg you to stay
I will move on and you should know I mean it
Wild horses run in me",inspiring_non_christian_music
Kiss Me,Sixpence None The Richer,"Nightly, beside the green, green grass
Swing, swing, swing the spinning step
You wear those shoes and I will wear that dress

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me down by the broken treehouse
Swing me upon its hanging tire
Bring, bring, bring your flowered hat
We'll take the trail marked on your father's map

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hair
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

So kiss me
So kiss me
So kiss me
So kiss me",inspiring_non_christian_music
When Love Takes Over (feat. Kelly Rowland),David Guetta,"It always is
That’s just the way it goes
Feels like I've waited so long for this
I wonder if it shows

Head underwater
Now I can't breathe
It never felt so good
'Cause I can feel it coming over me
I wouldn’t stop it if I could

When love takes over, yeah
You know you can’t deny
When love takes over, yeah
'Cause something’s here tonight

Give me a reason
I gotta know
Do you feel it too?
Can't you see me here on overload
And this time I blame you

Looking out for you to hold my hand
It feels like I could fall
Now love me right like I know you can
We could lose it all

When love takes over, yeah
You know you can’t deny
When love takes over, yeah
'Cause something’s here tonight

Tonight, tonight, tonight, tonight,
Tonight, tonight, tonight, tonight,
Tonight, tonight, tonight, tonight,
Tonight, tonight, tonight, tonight,

And I'll be loving you all the time, it's true
'Cause I wanna make it right with you

When love takes over
When love takes over
When love takes over
When love takes over

When love takes over
When love takes over
When love takes over
Over, over, over, over, over
Over, over, over, over, over

When love takes over, yeah
You know you can’t deny
When love takes over, yeah
'Cause something’s here tonight",inspiring_non_christian_music
Angels On My Side,Rick Astley,"Wanna stay inside my dreams
Sometimes I feel like I am breaking up
Do you know just how that feels

Hope is for the hopeful
It's a dream that never dies
Faith is for the faithful
I see it in your eyes

And I got angels on my side
I got angels flying high
And everything will be all right
'Cause I got angels on my side

I need the people that I really love
To only give me truth
Don't fake it, I can't take it
My heart is close to breaking
It reminds me of my youth

Hope is for the hopeful
It's a dream that never fades
Faith is for the faithful
And I will now be swayed

'Cause I got angels on my side
I got angels flying high
And everything will be all right
'Cause I got angels on my side

Everything gonna be all right
Everything gonna be all right,
Everything gonna be all right,
Everything gonna be all right.

Everything will be all right,
'Cause I got angels on my side.
Oh, yeah.

Can you see them?
Can you see them?

I got angels on my side
Angels flying high
And everything will be all right
'Cause I got angels on my side.

I got angels, you got angels,
Everybody got their angels on their side,
Everything's gonna be all right
You got angels, I got angels
Everybody got their angels by their side,
It's all right, it's all right.
I got angels, you got angels,
Everybody got an angel by their side,
We got angels on our side.
I got angels, you got angels,
Everybody got their angels by their side,
Oh, yeah.",inspiring_non_christian_music
You Raise Me Up,Josh Groban,"When troubles come and my heart burdened be;
Then, I am still and wait here in the silence,
Until you come and sit awhile with me.

You raise me up, so I can stand on mountains;
You raise me up, to walk on stormy seas;
I am strong, when I am on your shoulders;
You raise me up: To more than I can be.

You raise me up, so I can stand on mountains;
You raise me up, to walk on stormy seas;
I am strong, when I am on your shoulders;
You raise me up: To more than I can be.

There is no life - no life without its hunger;
Each restless heart beats so imperfectly;
But when you come and I am filled with wonder,
Sometimes, I think I glimpse eternity.

You raise me up, so I can stand on mountains;
You raise me up, to walk on stormy seas;
I am strong, when I am on your shoulders;
You raise me up: To more than I can be.

You raise me up, so I can stand on mountains;
You raise me up, to walk on stormy seas;
I am strong, when I am on your shoulders;
You raise me up: To more than I can be.",inspiring_non_christian_music
New Shoes,Paolo Nutini,"I'm looking tired and feeling quite sick
I felt like there was something missing in my day-today life
So, I quickly opened the wardrobe
Pulled out some jeans and a t-shirt that seemed clean
Topped it off with a pair of old shoes
That were ripped around the seams
And, I thought, These shoes just don't suit me

Hey, I put some new shoes on
And suddenly everything is right
I said, Hey, I put some new shoes on, and everybody's smiling
It's so inviting
Oh, short on money
But, long on time
Slowly strolling in the sweet sunshine
And I'm running late
And I don't need an excuse
'Cause I'm wearing my brand new shoes

Woke up late one Thursday
And, I'm seeing stars as I'm rubbing my eyes
And, I felt like there were two days missing
As I focused on the time
And I made my way to the kitchen
But, I had to stop from the shock of what I found
A room full of all of my friends all dancing 'round and 'round
And, I thought, Hello, New Shoes
Bye-bye blues

Hey, I put some new shoes on
And suddenly everything is right
I said, Hey, I put some new shoes on and everybody's smiling
It's so inviting
Oh, short on money
But long on time
Slowly strolling in the sweet sunshine
And I'm running late
And I don't need an excuse
'Cause I'm wearing my brand new shoes

Take me wanderin' through these streets
Where bright lights and angels meet
Stone to stone they take me on
I'm walking till the break of dawn

Take me wanderin' through these streets
Where bright lights and angels meet
Stone to stone they take me on
I'm walking till the break of dawn

Hey, I put some new shoes on
And suddenly everything is right
I said, Hey, I put some new shoes on, and everybody's smiling
It's so inviting
Oh, short on money
But, long on time
Slowly strolling in the sweet sunshine
And I'm running late
And I don't need an excuse
'Cause I'm wearing my brand new shoes

Oh, hey, I put some new shoes on
And suddenly everything is right
I said, Hey, I put some new shoes on, and everybody's smiling
It's so inviting
Oh, short on money
But, long on time
Slowly strolling in the sweet sunshine
And I'm running late
And I don't need an excuse
'Cause I'm wearing my brand new shoes",inspiring_non_christian_music
Bad Day,Daniel Powter,"You kick up the leaves and the magic is lost
Tell me your blue skies fade to grey
Tell me your passion's gone away
And I don't need no carrying on

You're standing in line just to hit a new low
You're faking a smile with a coffee to go
Tell me your life's been way off line
You're falling to pieces every time
And I don't need no carrying on

'Cause you had a bad day
You're taking one down
You sing a sad song 
Just to turn it around

You say you don't know
You tell me don't lie
You work on a smile 
And you go for a ride

You had a bad day
The camera don't lie
You're coming back down 
And you really don't mind
You had a bad day
You had a bad day

Well, you need a blue sky holiday
The point is they laugh at what you say
And I don't need no carrying on

You had a bad day
You're taking one down
You sing a sad song 
Just to turn it around

You say you don't know
You tell me don't lie
You work on a smile 
And you go for a ride

You had a bad day
The camera don't lie
You're coming back down
And you really don't mind
You had a bad day
Oh, a holiday

Sometimes the system goes on the blink
And the whole thing turns out wrong
You might not make it back and you know
That you could be well oh that strong
And I'm not wrong, yeah

So where is the passion when you need it the most?
Oh, you and I
You kick up the leaves and the magic is lost

'Cause you had a bad day
You're taking one down
You sing a sad song
Just to turn it around

You say you don't know
You tell me don't lie
You work on a smile
And you go for a ride

You had a bad day
You've seen what you like
And how does it feel for one more time
You had a bad day
You had a bad day


You had a bad day

You had a bad day

You had a bad day",inspiring_non_christian_music
